Provinsi,Ibu Kota,Luas,Jumlah Pulau
Aceh,Banda Aceh,57956.00, 663
Sumatera Utara,Medan,72981.23, 419
Sumatera Barat,Padang,42012.89, 391
Riau,Pekanbaru,87023.66, 139
Kepulauan Riau,Tanjung Pinang,8201.72,2 408
Jambi,Jambi,50058.16, 19
Sumatera Selatan,Palembang,91592.43, 53
Kepulauan Bangka Belitung,Pangkal Pinang,16424.06, 950
Bengkulu,Bengkulu,19919.33, 47
Lampung,Bandar Lampung,34623.80, 188
DKI Jakarta,Jakarta,664.01, 218
Jawa Barat,Bandung,35377.76, 131
Banten,Serang,9662.92, 131
Jawa Tengah,Semarang,32800.69, 296
DI Yogyakarta,Yogyakarta,3133.15, 23
Jawa Timur,Surabaya,47799.75, 287
Bali,Denpasar,5780.06, 85
Nusa Tenggara Barat,Mataram,18572.32, 864
Nusa Tenggara Timur,Kupang,48718.10,1 192
Kalimantan Barat,Pontianak,147307.00, 339
Kalimantan Tengah,Palangka Raya,153564.50, 32
Kalimantan Selatan,Banjarmasin,38744.23, 320
Kalimantan Timur,Samarinda,129066.64, 370
Kalimantan Utara,Bulungan,75467.70,-
Sulawesi Utara,Manado,13851.64, 668
Gorontalo,Gorontalo,11257.07, 136
Sulawesi Tengah,Palu,61841.29, 750
Sulawesi Selatan,Makassar,46717.48, 295
Sulawesi Barat,Mamuju,16787.18,-
Sulawesi Tenggara,Kendari,38067.70, 651
Maluku,Ambon,46914.03,1 422
Maluku Utara,Ternate,31982.50,1 474
Papua,Jayapura,319036.05, 598
Papua Barat,Manokwari,99671.63,1 945
